1744790719.21, -0.782, -2.088, -0.801, -1.823, 1.566, -0.782, 0.094, 0.192, -0.478, 0.281, -0.136, 0.101, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.25, -0.776, -2.076, -0.827, -1.808, 1.558, -0.775, 0.192, 0.371, -0.791, 0.456, -0.243, 0.201, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.28, -0.766, -2.057, -0.865, -1.786, 1.548, -0.766, 0.288, 0.566, -1.138, 0.690, -0.310, 0.292, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.31, -0.754, -2.034, -0.909, -1.760, 1.538, -0.753, 0.376, 0.693, -1.339, 0.777, -0.297, 0.377, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.35, -0.739, -2.008, -0.958, -1.734, 1.531, -0.738, 0.463, 0.788, -1.472, 0.793, -0.231, 0.461, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.39, -0.720, -1.979, -1.013, -1.705, 1.524, -0.720, 0.555, 0.896, -1.683, 0.856, -0.193, 0.554, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.42, -0.702, -1.951, -1.064, -1.680, 1.518, -0.702, 0.556, 0.828, -1.549, 0.781, -0.199, 0.553, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.45, -0.684, -1.926, -1.111, -1.656, 1.511, -0.683, 0.554, 0.765, -1.424, 0.714, -0.206, 0.551, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.48, -0.666, -1.903, -1.155, -1.635, 1.504, -0.665, 0.550, 0.709, -1.314, 0.654, -0.213, 0.547, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.51, -0.648, -1.881, -1.195, -1.615, 1.497, -0.647, 0.545, 0.657, -1.214, 0.597, -0.216, 0.542, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.55, -0.630, -1.861, -1.232, -1.597, 1.490, -0.630, 0.539, 0.610, -1.122, 0.543, -0.218, 0.535, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.58, -0.612, -1.842, -1.266, -1.581, 1.482, -0.612, 0.535, 0.569, -1.043, 0.493, -0.214, 0.531, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.61, -0.595, -1.824, -1.298, -1.566, 1.476, -0.595, 0.534, 0.536, -0.975, 0.446, -0.205, 0.530, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.65, -0.577, -1.808, -1.329, -1.553, 1.469, -0.577, 0.537, 0.509, -0.917, 0.401, -0.190, 0.533, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.68, -0.559, -1.792, -1.357, -1.541, 1.464, -0.559, 0.543, 0.488, -0.868, 0.358, -0.171, 0.539, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.71, -0.541, -1.776, -1.384, -1.530, 1.459, -0.541, 0.553, 0.471, -0.826, 0.320, -0.148, 0.549, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.75, -0.522, -1.761, -1.411, -1.521, 1.455, -0.523, 0.567, 0.458, -0.790, 0.284, -0.122, 0.563, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.78, -0.503, -1.746, -1.436, -1.513, 1.452, -0.504, 0.583, 0.447, -0.759, 0.252, -0.093, 0.580, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.81, -0.483, -1.732, -1.460, -1.505, 1.450, -0.484, 0.601, 0.438, -0.731, 0.224, -0.064, 0.598, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.85, -0.462, -1.718, -1.483, -1.499, 1.449, -0.463, 0.622, 0.429, -0.706, 0.199, -0.033, 0.619, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.88, -0.441, -1.704, -1.506, -1.493, 1.449, -0.442, 0.643, 0.421, -0.683, 0.179, -0.004, 0.640, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.91, -0.419, -1.690, -1.527, -1.487, 1.449, -0.420, 0.665, 0.412, -0.661, 0.162, 0.025, 0.662, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.95, -0.397, -1.677, -1.548, -1.482, 1.451, -0.398, 0.688, 0.401, -0.639, 0.148, 0.051, 0.684, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790719.98, -0.373, -1.664, -1.569, -1.478, 1.453, -0.375, 0.709, 0.390, -0.618, 0.142, 0.074, 0.704, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790720.02, -0.349, -1.651, -1.589, -1.473, 1.457, -0.351, 0.729, 0.377, -0.596, 0.137, 0.094, 0.723, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
1744790720.04, -0.324, -1.640, -1.607, -1.469, 1.460, -0.326, 0.747, 0.362, -0.573, 0.136, 0.110, 0.740, -0.073, 0.073, 0.073, 0.073, 0.073, -0.073, -0.073, -0.073
