1746360639.44, 0.0009, 3.035, -1.054, 0.969, -1.486, -1.571, 0.679, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
1746360639.45, 0.0098, 3.035, -1.054, 0.969, -1.486, -1.571, 0.679, 0.093, 0.617, -0.592, -0.068, -0.049, -0.268, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.042, -0.009, 0.426, 0.109, -0.018, 1.109, 0.014, 0.001, 0.140, 0.001, 0.000, 0.010
1746360639.46, 0.0098, 3.035, -1.054, 0.969, -1.486, -1.571, 0.679, 0.081, 0.581, -0.455, -0.161, -0.057, -0.275, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.101, -0.022, 1.034, 0.145, -0.024, 1.466, 0.095, 0.005, 0.955, 0.050, 0.004, 0.499
1746360639.47, 0.0088, 3.035, -1.054, 0.969, -1.486, -1.571, 0.679, 0.066, 0.543, -0.375, -0.200, -0.063, -0.284, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.111, -0.025, 1.133, 0.139, -0.024, 1.409, 0.119, 0.007, 1.196, 0.089, 0.007, 0.894
1746360639.48, 0.0087, 3.035, -1.054, 0.969, -1.485, -1.571, 0.679, 0.047, 0.486, -0.275, -0.240, -0.067, -0.296, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.110, -0.025, 1.129, 0.128, -0.022, 1.304, 0.128, 0.008, 1.281, 0.108, 0.008, 1.080
1746360639.49, 0.0089, 3.036, -1.050, 0.964, -1.486, -1.571, 0.676, 0.027, 0.421, -0.148, -0.302, -0.077, -0.304, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.110, -0.026, 1.130, 0.120, -0.021, 1.221, 0.132, 0.008, 1.320, 0.120, 0.010, 1.202
1746360639.50, 0.0090, 3.037, -1.046, 0.959, -1.489, -1.572, 0.674, -0.003, 0.320, 0.010, -0.342, -0.073, -0.299, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.107, -0.026, 1.104, 0.113, -0.020, 1.146, 0.130, 0.009, 1.307, 0.123, 0.011, 1.237
1746360639.51, 0.0091, 3.037, -1.041, 0.956, -1.492, -1.572, 0.671, -0.029, 0.216, 0.182, -0.384, -0.069, -0.282, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.108, -0.026, 1.111, 0.108, -0.020, 1.101, 0.129, 0.009, 1.291, 0.127, 0.012, 1.271
1746360639.53, 0.0092, 3.038, -1.036, 0.956, -1.493, -1.573, 0.669, -0.056, 0.106, 0.345, -0.431, -0.063, -0.263, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.107, -0.027, 1.108, 0.109, -0.020, 1.110, 0.133, 0.010, 1.332, 0.129, 0.013, 1.299
1746360639.53, 0.0088, 3.037, -1.029, 0.956, -1.497, -1.574, 0.664, -0.085, -0.001, 0.508, -0.514, -0.061, -0.242, -0.036, -0.005, 0.098, -0.014, 0.090, -0.151, -0.046, -0.141, 0.107, -0.027, 1.107, 0.114, -0.021, 1.157, 0.141, 0.011, 1.419, 0.133, 0.014, 1.339
